dog_id,date,breed,sex,age_months,age_years,height_cm,length_cm,weight_kg,avg_daily_play_min,avg_daily_walk_min,activity_minutes,activity_score_percent,sleep_hours,rer,mer_multiplier,calories_per_day,activity_cluster,activity_label
DOG0001,2025-10-08,French Bulldog,F,47,3.92,30.8,28.6,10.64,44.3,20.5,64.8,4.5,10.8,412.4,1.19,404.5,0,Normal
DOG0002,2025-08-29,Poodle (Standard),M,2,0.17,63.3,64.3,19.01,31.0,44.5,75.5,5.24,11.2,637.3,2.6803075385877797,1693.2,2,Hyperactive
DOG0003,2025-10-03,Mixed,F,13,1.08,27.9,34.7,14.53,22.2,36.4,58.6,4.07,12.0,521.0,1.17,655.0,1,Low activity
DOG0004,2025-11-11,Poodle (Standard),M,125,10.42,59.5,56.2,26.12,0.0,25.2,25.2,1.75,10.2,808.8,1.17,873.1,1,Low activity
DOG0005,2025-10-24,German Shepherd,M,19,1.58,59.2,62.0,33.15,57.2,53.4,110.6,7.68,11.4,967.1,1.25,1299.0,2,Hyperactive
DOG0006,2025-10-15,Labrador Retriever,M,14,1.17,61.6,70.0,34.74,37.8,70.3,108.1,7.51,11.1,1001.7,1.34,1132.3,2,Hyperactive
DOG0007,2025-09-25,Pomeranian,M,81,6.75,24.3,28.7,2.35,46.9,75.8,122.7,8.52,12.0,132.9,1.28,179.6,2,Hyperactive
DOG0008,2025-06-14,Siberian Husky,F,58,4.83,52.0,67.8,20.85,38.4,29.4,67.8,4.71,13.0,683.0,1.22,688.2,1,Low activity
DOG0009,2025-04-16,Dachshund,M,10,0.83,14.8,14.9,8.43,78.2,51.7,129.9,9.02,9.7,346.3,2.0273623539546652,689.9,0,Normal
DOG0010,2025-03-31,Mixed,M,5,0.42,39.6,55.2,14.06,12.7,26.8,39.5,2.74,13.3,508.3,2.6323058305935794,1361.8,1,Low activity
DOG0011,2025-10-18,Chihuahua,M,25,2.08,21.9,29.1,1.94,29.6,20.5,50.1,3.48,11.3,115.1,1.22,146.1,1,Low activity
DOG0012,2025-07-18,Mixed,M,15,1.25,29.1,38.1,15.42,75.8,30.4,106.2,7.38,9.4,544.7,1.32,775.6,0,Normal
DOG0013,2025-06-10,Shih Tzu,M,78,6.5,26.1,35.7,6.29,30.4,23.2,53.6,3.72,10.2,278.0,1.1,288.0,0,Normal
DOG0014,2025-03-07,German Shepherd,M,24,2.0,59.1,74.5,29.99,26.5,87.7,114.2,7.93,11.7,897.1,1.19,1066.7,2,Hyperactive
DOG0015,2025-08-19,Siberian Husky,F,25,2.08,56.5,64.8,22.29,10.7,46.3,57.0,3.96,12.4,718.1,1.26,900.6,1,Low activity
DOG0016,2025-08-14,Mixed,M,13,1.08,30.6,33.2,15.06,43.1,36.5,79.6,5.53,9.8,535.1,1.21,603.6,0,Normal
DOG0017,2025-07-07,Dachshund,F,16,1.33,15.4,20.1,10.32,34.1,79.0,113.1,7.85,11.1,403.0,1.33,567.9,2,Hyperactive
DOG0018,2025-08-10,Shih Tzu,M,16,1.33,20.4,23.1,5.2,6.9,20.2,27.1,1.88,10.7,241.0,1.2,319.3,1,Low activity
DOG0019,2025-04-11,Siberian Husky,M,2,0.17,55.5,65.0,15.74,85.0,49.9,134.9,9.37,10.1,553.2,2.270832251262074,1221.1,0,Normal
DOG0020,2024-12-12,German Shepherd,M,20,1.67,61.7,57.3,32.8,49.9,40.0,89.9,6.24,13.9,959.4,1.21,1308.5,1,Low activity
DOG0021,2025-02-09,Pomeranian,M,15,1.25,27.5,31.3,3.28,21.9,6.9,28.8,2.0,9.4,170.6,1.15,217.3,0,Normal
DOG0022,2025-05-31,Golden Retriever,M,97,8.08,58.2,68.1,31.8,50.0,67.6,117.6,8.17,12.3,937.4,1.21,1149.6,2,Hyperactive
DOG0023,2025-08-03,Chihuahua,F,61,5.08,19.8,19.9,1.79,23.8,22.2,46.0,3.19,10.2,108.3,1.3,131.1,1,Low activity
DOG0024,2025-08-22,Golden Retriever,M,42,3.5,59.5,79.7,33.95,41.0,40.0,81.0,5.62,12.1,984.5,1.24,1230.1,1,Low activity
DOG0025,2025-05-04,Beagle,F,70,5.83,37.3,35.5,10.26,39.5,43.8,83.3,5.78,11.0,401.3,1.29,509.0,2,Hyperactive
DOG0026,2025-03-18,Dachshund,M,24,2.0,13.6,12.9,11.07,58.7,49.9,108.6,7.54,13.1,424.8,1.3,569.1,1,Low activity
DOG0027,2025-06-12,Shih Tzu,M,9,0.75,22.1,26.3,4.83,55.8,19.1,74.9,5.2,11.2,228.1,1.8267925540733527,450.6,0,Normal
DOG0028,2025-08-01,Pomeranian,F,4,0.33,23.9,22.2,1.65,90.1,22.3,112.4,7.81,9.3,101.9,2.8685991281894605,285.5,0,Normal
DOG0029,2025-03-12,Mixed,M,126,10.5,26.3,36.7,15.77,14.3,31.8,46.1,3.2,13.4,554.0,1.27,798.9,1,Low activity
